FIPS State county code,CBSA (Blanks are Rural),Rural area,Urban area
17057,,0,1
17059,,0,1
17061,,0,1
17063,16974,1,0
17065,,0,1
17067,,0,1
17069,,0,1
17071,,0,1
17073,19340,1,0
17075,,0,1
17077,16060,1,0
17079,,0,1
17081,,0,1
17083,41180,1,0
17085,,0,1
17087,,0,1
17089,20994,1,0
17091,28100,1,0
17093,16974,1,0
17095,,0,1
17097,29404,1,0
17099,,0,1
17101,,0,1
17103,,0,1
17105,,0,1
17107,,0,1
17109,,0,1
17111,16974,1,0
17113,14010,1,0
17115,19500,1,0
17117,41180,1,0
17119,41180,1,0
17121,,0,1
17123,37900,1,0
17125,,0,1
17127,,0,1
17129,44100,1,0
17131,19340,1,0
17133,41180,1,0
17135,,0,1
17137,,0,1
17139,,0,1
17141,,0,1
17143,37900,1,0
17145,,0,1
17147,16580,1,0
17149,,0,1
17151,,0,1
17153,,0,1
17155,,0,1
17157,,0,1
17159,,0,1
17161,19340,1,0
17163,41180,1,0
17165,,0,1
17167,44100,1,0
17169,,0,1
17171,,0,1
17173,,0,1
17175,37900,1,0
17177,,0,1
17179,37900,1,0
17181,,0,1
17183,19180,1,0
17185,,0,1
17187,,0,1
17189,,0,1
17191,,0,1
17193,,0,1
17195,,0,1
17197,16974,1,0
17199,16060,1,0
17201,40420,1,0
17203,37900,1,0
17990,,0,1
18001,,0,1
18003,23060,1,0
18005,18020,1,0
18007,29200,1,0
18009,,0,1
18011,26900,1,0
18013,26900,1,0
18015,29200,1,0
18017,,0,1
18019,31140,1,0
18021,45460,1,0
18023,,0,1
18025,,0,1
18027,,0,1
18029,17140,1,0
18031,,0,1
18033,,0,1
18035,34620,1,0
18037,,0,1
18039,21140,1,0
18041,,0,1
18043,31140,1,0
18045,,0,1
18047,,0,1
18049,,0,1
18051,,0,1
18053,,0,1
18055,,0,1
18057,26900,1,0
18059,26900,1,0
18061,31140,1,0
18063,26900,1,0
18065,,0,1
18067,29020,1,0
18069,,0,1
18071,,0,1
18073,23844,1,0
18075,,0,1
18077,,0,1
18079,,0,1
18081,26900,1,0
18083,,0,1
18085,,0,1
18087,,0,1
18089,23844,1,0
18091,33140,1,0
18093,,0,1
18095,26900,1,0
18097,26900,1,0
18099,,0,1
18101,,0,1
18103,,0,1
18105,14020,1,0
18107,,0,1
18109,26900,1,0
18111,23844,1,0
18113,,0,1
18115,17140,1,0
18117,,0,1
18119,14020,1,0
18121,,0,1
18123,,0,1
18125,,0,1
18127,23844,1,0
18129,21780,1,0
18131,,0,1
18133,26900,1,0
18135,,0,1
18137,,0,1
18139,,0,1
18141,43780,1,0
18143,31140,1,0
18145,26900,1,0
18147,,0,1
18149,,0,1
18151,,0,1
18153,45460,1,0
18155,,0,1
18157,29200,1,0
18159,,0,1
18161,17140,1,0
18163,21780,1,0
18165,45460,1,0
18167,45460,1,0
18169,,0,1
18171,,0,1
18173,21780,1,0
18175,31140,1,0
18177,,0,1
18179,23060,1,0
18181,,0,1
18183,23060,1,0
18990,,0,1
19001,,0,1
19003,,0,1
19005,,0,1
19007,,0,1
19009,,0,1
19011,16300,1,0
19013,47940,1,0
19015,,0,1
19017,47940,1,0
19019,,0,1
19021,,0,1
19023,,0,1
19025,,0,1
19027,,0,1
19029,,0,1
19031,,0,1
19033,,0,1
19035,,0,1
19037,,0,1
19039,,0,1
19041,,0,1
19043,,0,1
19045,,0,1
19047,,0,1
19049,19780,1,0
19051,,0,1
19053,,0,1
19055,,0,1
19057,,0,1
19059,,0,1
19061,20220,1,0
19063,,0,1
19065,,0,1
19067,,0,1
19069,,0,1
19071,,0,1
19073,,0,1
19075,47940,1,0
19077,19780,1,0
19079,,0,1
19081,,0,1
19083,,0,1
19085,36540,1,0
19087,,0,1
19089,,0,1
19091,,0,1
19093,,0,1
19095,,0,1
19097,,0,1
19099,,0,1
19101,,0,1
19103,26980,1,0
19105,16300,1,0
19107,,0,1
19109,,0,1
19111,,0,1
19113,16300,1,0
19115,,0,1
19117,,0,1
19119,,0,1
19121,19780,1,0
19123,,0,1
19125,,0,1
19127,,0,1
19129,36540,1,0
19131,,0,1
19133,,0,1
19135,,0,1
19137,,0,1
19139,,0,1
19141,,0,1
19143,,0,1
19145,,0,1
19147,,0,1
19149,43580,1,0
19151,,0,1
19153,19780,1,0
19155,36540,1,0
19157,,0,1
19159,,0,1
19161,,0,1
19163,19340,1,0
19165,,0,1
19167,,0,1
19169,11180,1,0
19171,,0,1
19173,,0,1
19175,,0,1
19177,,0,1
19179,,0,1
19181,19780,1,0
19183,26980,1,0
19185,,0,1
19187,,0,1
19189,,0,1
19191,,0,1
19193,43580,1,0
19195,,0,1
19197,,0,1
19990,,0,1
20001,,0,1
20003,,0,1
20005,,0,1
20007,,0,1
20009,,0,1
20011,,0,1
20013,,0,1
20015,48620,1,0
20017,,0,1
20019,,0,1
20021,,0,1
20023,,0,1
20025,,0,1
20027,,0,1
20029,,0,1
20031,,0,1
20033,,0,1
20035,,0,1
20037,,0,1
20039,,0,1
20041,,0,1
20043,41140,1,0
20045,29940,1,0
20047,,0,1
20049,,0,1
20051,,0,1
20053,,0,1
20055,,0,1
20057,,0,1
20059,,0,1
20061,,0,1
20063,,0,1
20065,,0,1
20067,,0,1
20069,,0,1
20071,,0,1
20073,,0,1
20075,,0,1
20077,,0,1
20079,48620,1,0
20081,,0,1
20083,,0,1
20085,45820,1,0
20087,45820,1,0
20089,,0,1
20091,28140,1,0
20093,,0,1
20095,48620,1,0
20097,,0,1
20099,,0,1
20101,,0,1
20103,28140,1,0
20105,,0,1
20107,28140,1,0
20109,,0,1
20111,,0,1
20113,,0,1
20115,,0,1
20117,,0,1
20119,,0,1
20121,28140,1,0
20123,,0,1
20125,,0,1
20127,,0,1
20129,,0,1
20131,,0,1
20133,,0,1
20135,,0,1
20137,,0,1
20139,45820,1,0
20141,,0,1
20143,,0,1
20145,,0,1
20147,,0,1
20149,31740,1,0
20151,,0,1
20153,,0,1
20155,,0,1
20157,,0,1
20159,,0,1
20161,31740,1,0
20163,,0,1
20165,,0,1
20167,,0,1
20169,,0,1
20171,,0,1
20173,48620,1,0
20175,,0,1
20177,45820,1,0
20179,,0,1
20181,,0,1
20183,,0,1
20185,,0,1
20187,,0,1
20189,,0,1
20191,48620,1,0
20193,,0,1
20195,,0,1
20197,45820,1,0
20199,,0,1
20201,,0,1
20203,,0,1
20205,,0,1
20207,,0,1
20209,28140,1,0
20990,,0,1
21001,,0,1
21003,14540,1,0
21005,,0,1
21007,,0,1
21009,,0,1
21011,,0,1
21013,,0,1
21015,17140,1,0
21017,30460,1,0
21019,26580,1,0
21021,,0,1
21023,17140,1,0
21025,,0,1
21027,,0,1
21029,31140,1,0
21031,14540,1,0
21033,,0,1
21035,,0,1
21037,17140,1,0
21039,,0,1
21041,,0,1
21043,,0,1
21045,,0,1
21047,17300,1,0
21049,30460,1,0
21051,,0,1
21053,,0,1
21055,,0,1
21057,,0,1
21059,36980,1,0
21061,14540,1,0
21063,,0,1
21065,,0,1
21067,30460,1,0
21069,,0,1
21071,,0,1
21073,,0,1
21075,,0,1
21077,17140,1,0
21079,,0,1
21081,17140,1,0
21083,,0,1
21085,,0,1
21087,,0,1
21089,26580,1,0
21091,36980,1,0
21093,21060,1,0
21095,,0,1
21097,,0,1
21099,,0,1
21101,21780,1,0
21103,31140,1,0
21105,,0,1
21107,,0,1
21109,,0,1
21111,31140,1,0
21113,30460,1,0
21115,,0,1
21117,17140,1,0
21119,,0,1
21121,,0,1
21123,21060,1,0
21125,,0,1
21127,,0,1
21129,,0,1
21131,,0,1
21133,,0,1
21135,,0,1
21137,,0,1
21139,,0,1
21141,,0,1
21143,,0,1
21145,,0,1
21147,,0,1
21149,36980,1,0
21151,,0,1
21153,,0,1
21155,,0,1
21157,,0,1
21159,,0,1
21161,,0,1
21163,21060,1,0
21165,,0,1
21167,,0,1
21169,,0,1
21171,,0,1
21173,,0,1
21175,,0,1
21177,,0,1
21179,,0,1
21181,,0,1
21183,,0,1
21185,31140,1,0
21187,,0,1
21189,,0,1
21191,17140,1,0
21193,,0,1
21195,,0,1
21197,,0,1
21199,,0,1
21201,,0,1
21203,,0,1
21205,,0,1
21207,,0,1
21209,30460,1,0
21211,31140,1,0
21213,,0,1
21215,31140,1,0
21217,,0,1
21219,,0,1
21221,17300,1,0
21223,31140,1,0
21225,,0,1
21227,14540,1,0
21229,,0,1
21231,,0,1
21233,,0,1
21235,,0,1
21237,,0,1
21239,30460,1,0
21990,,0,1
22001,29180,1,0
22003,,0,1
22005,12940,1,0
22007,,0,1
22009,,0,1
22011,,0,1
22013,,0,1
22015,43340,1,0
22017,43340,1,0
22019,29340,1,0
22021,,0,1
22023,29340,1,0
22025,,0,1
22027,,0,1
22029,,0,1
22031,43340,1,0
22033,12940,1,0
22035,,0,1
22037,12940,1,0
22039,,0,1
22041,,0,1
22043,10780,1,0
22045,29180,1,0
22047,12940,1,0
22049,,0,1
22051,35380,1,0
22053,,0,1
22055,29180,1,0
22057,26380,1,0
22059,,0,1
22061,,0,1
22063,12940,1,0
22065,,0,1
22067,,0,1
22069,,0,1
22071,35380,1,0
22073,33740,1,0
22075,35380,1,0
22077,12940,1,0
22079,10780,1,0
22081,,0,1
22083,,0,1
22085,,0,1
22087,35380,1,0
22089,35380,1,0
22091,12940,1,0
22093,35380,1,0
22095,35380,1,0
22097,,0,1
22099,29180,1,0
22101,,0,1
22103,35380,1,0
22105,25220,1,0
22107,,0,1
22109,26380,1,0
22111,33740,1,0
22113,29180,1,0
22115,,0,1
22117,,0,1
22119,43340,1,0
22121,12940,1,0
22123,,0,1
22125,12940,1,0
22127,,0,1
22990,,0,1
23001,30340,1,0
23003,,0,1
23005,38860,1,0
23007,,0,1
23009,,0,1
23011,,0,1
23013,,0,1
23015,,0,1
23017,,0,1
23019,12620,1,0
23021,,0,1
23023,38860,1,0
23025,,0,1
23027,,0,1
23029,,0,1
23031,38860,1,0
23990,,0,1
24001,19060,1,0
24003,12580,1,0
24005,12580,1,0
24510,12580,1,0
24009,47894,1,0
24011,,0,1
24013,12580,1,0
24015,48864,1,0
24017,47894,1,0
24019,,0,1
24021,43524,1,0
24023,,0,1
24025,12580,1,0
24027,12580,1,0
24029,,0,1
24031,43524,1,0
24033,47894,1,0
24035,12580,1,0
24037,15680,1,0
24039,41540,1,0
24041,,0,1
24043,25180,1,0
24045,41540,1,0
24047,41540,1,0
24990,,0,1
25001,12700,1,0
25003,38340,1,0
25005,39300,1,0
25007,,0,1
25009,15764,1,0
25011,,0,1
25013,44140,1,0
25015,44140,1,0
25017,15764,1,0
25019,,0,1
25021,14454,1,0
25023,14454,1,0
25025,14454,1,0
25027,49340,1,0
25990,,0,1
26001,,0,1
26003,,0,1
26005,,0,1
26007,,0,1
26009,,0,1
26011,,0,1
26013,,0,1
26015,24340,1,0
26017,13020,1,0
26019,,0,1
26021,35660,1,0
26023,,0,1
26025,12980,1,0
26027,43780,1,0
26029,,0,1
26031,,0,1
26033,,0,1
26035,,0,1
26037,29620,1,0
26039,,0,1
26041,,0,1
26043,,0,1
26045,29620,1,0
26047,,0,1
26049,22420,1,0
26051,,0,1
26053,,0,1
26055,,0,1
26057,,0,1
26059,,0,1
26061,,0,1
26063,,0,1
26065,29620,1,0
26067,,0,1
26069,,0,1
26071,,0,1
26073,,0,1
26075,27100,1,0
26077,28020,1,0
26079,,0,1
26081,24340,1,0
26083,,0,1
26085,,0,1
26087,47664,1,0
26089,,0,1
26091,,0,1
26093,47664,1,0
26095,,0,1
26097,,0,1
26099,47664,1,0
26101,,0,1
26103,,0,1
26105,,0,1
26107,,0,1
26109,,0,1
26111,33220,1,0
26113,,0,1
26115,33780,1,0
26117,24340,1,0
26119,,0,1
26121,34740,1,0
26123,,0,1
26125,47664,1,0
26127,,0,1
26129,,0,1
26131,,0,1
26133,,0,1
26135,,0,1
26137,,0,1
26139,24340,1,0
26141,,0,1
26143,,0,1
26145,40980,1,0
26147,47664,1,0
26149,,0,1
26151,,0,1
26153,,0,1
26155,,0,1
26157,,0,1
26159,28020,1,0
26161,11460,1,0
26163,19804,1,0
26165,,0,1
26990,,0,1
27001,,0,1
27003,33460,1,0
27005,,0,1
27007,,0,1
27009,41060,1,0
27011,,0,1
27013,31860,1,0
27015,,0,1
27017,20260,1,0
27019,33460,1,0
27021,,0,1
27023,,0,1
27025,33460,1,0
27027,22020,1,0
27029,,0,1
27031,,0,1
27033,,0,1
27035,,0,1
27037,33460,1,0
27039,40340,1,0
27041,,0,1
27043,,0,1
27045,40340,1,0
27047,,0,1
27049,,0,1
27051,,0,1
27053,33460,1,0
27055,29100,1,0
27057,,0,1
27059,33460,1,0
27061,,0,1
27063,,0,1
27065,,0,1
27067,,0,1
27069,,0,1
27071,,0,1
27073,,0,1
27075,,0,1
27077,,0,1
27079,33460,1,0
27081,,0,1
27083,,0,1
27085,,0,1
27087,,0,1
27089,,0,1
27091,,0,1
27093,,0,1
27095,33460,1,0
27097,,0,1
27099,,0,1
27101,,0,1
27103,31860,1,0
27105,,0,1
27107,,0,1
27109,40340,1,0
27111,,0,1
27113,,0,1
27115,,0,1
27117,,0,1
27119,24220,1,0
27121,,0,1
27123,33460,1,0
27125,,0,1
27127,,0,1
27129,,0,1
27131,,0,1
27133,,0,1
27135,,0,1
27137,20260,1,0
27139,33460,1,0
27141,33460,1,0
27143,33460,1,0
27145,41060,1,0
27147,,0,1
27149,,0,1
27151,,0,1
27153,,0,1
27155,,0,1
27157,40340,1,0
27159,,0,1
27161,,0,1
27163,33460,1,0
27165,,0,1
27167,,0,1
27169,,0,1
27171,33460,1,0
27173,,0,1
27990,,0,1
28001,,0,1
28003,,0,1
28005,,0,1
28007,,0,1
28009,32820,1,0
28011,,0,1
28013,,0,1
28015,,0,1
28017,,0,1
28019,,0,1
28021,,0,1
28023,,0,1
28025,,0,1
28027,,0,1
28029,27140,1,0
28031,,0,1
28033,32820,1,0
28035,25620,1,0
28037,,0,1
28039,,0,1
28041,,0,1
28043,,0,1
28045,25060,1,0
28047,25060,1,0
28049,27140,1,0
28051,,0,1
28053,,0,1
28055,,0,1
28057,,0,1
28059,25060,1,0
28061,,0,1
28063,,0,1
28065,,0,1
28067,,0,1
28069,,0,1
28071,,0,1
28073,25620,1,0
28075,,0,1
28077,,0,1
28079,,0,1
28081,,0,1
28083,,0,1
28085,,0,1
28087,,0,1
28089,27140,1,0
28091,,0,1
28093,32820,1,0
28095,,0,1
28097,,0,1
28099,,0,1
28101,,0,1
28103,,0,1
28105,,0,1
28107,,0,1
28109,,0,1
28111,25620,1,0
28113,,0,1
28115,,0,1
28117,,0,1
28119,,0,1
28121,27140,1,0
28123,,0,1
28125,,0,1
28127,27140,1,0
