PROV,paymcaid,multifac,pctwhite_2011p,Low Medicaid share (<Median),High Medicaid share (>=Median),No chain affiliation,Chain affiliation,Low racial or ethnic minority share (<Median),High racial or ethnic minority share (>=Median)
155719,62.26,No,97.62,1,0,1,0,0,1
155386,51.04,Yes,97.4,1,0,0,1,0,1
155701,34.48,No,100,1,0,1,0,0,1
155526,77.97,Yes,96.49,0,1,0,1,0,1
155650,76.54,Yes,45.45,0,1,0,1,1,0
155628,86.44,Yes,LNE,0,1,0,1,0,1
155627,96.3,Yes,100,0,1,0,1,0,1
155637,77.31,Yes,95.73,0,1,0,1,0,1
155796,36.96,Yes,100,1,0,0,1,0,1
155771,68.13,Yes,96.73,0,1,0,1,0,1
155729,46.94,Yes,100,1,0,0,1,0,1
155745,35.71,No,93.1,1,0,1,0,0,1
155802,49.21,No,40.35,1,0,1,0,1,0
15E681,100,Yes,100,0,1,0,1,0,1
155787,56.86,No,91.78,1,0,1,0,0,1
165006,18.52,No,94,1,0,1,0,0,1
165017,57.47,Yes,96.05,1,0,0,1,0,1
165019,34,Yes,89.74,1,0,0,1,0,1
165030,1.96,No,95.74,1,0,1,0,0,1
165033,73.44,Yes,81.36,0,1,0,1,1,0
165034,45.07,Yes,83.64,1,0,0,1,1,0
165046,0,No,LNE,1,0,1,0,0,1
165049,15.85,No,100,1,0,1,0,0,1
165072,44.97,No,96.79,1,0,1,0,0,1
165081,0,No,100,1,0,1,0,0,1
165082,53.23,Yes,100,1,0,0,1,0,1
165272,75.53,Yes,69.88,0,1,0,1,1,0
165104,26.76,Yes,100,1,0,0,1,0,1
165110,49.32,No,100,1,0,1,0,0,1
165612,42.98,No,93.2,1,0,1,0,0,1
165116,0,Yes,LNE,1,0,0,1,0,1
165118,47.06,No,100,1,0,1,0,0,1
165119,1.59,Yes,92.98,1,0,0,1,0,1
165130,0,Yes,LNE,1,0,0,1,0,1
165135,38.46,No,95.56,1,0,1,0,0,1
165595,44.44,No,97.73,1,0,1,0,0,1
165145,63.04,Yes,97.73,1,0,0,1,0,1
165146,40.35,No,99.14,1,0,1,0,0,1
165147,48.84,No,100,1,0,1,0,0,1
165149,46.3,No,98,1,0,1,0,0,1
165151,76.67,No,89.74,0,1,1,0,0,1
165152,94.74,Yes,79.25,0,1,0,1,1,0
165155,50.75,No,100,1,0,1,0,0,1
165156,76.74,Yes,90,0,1,0,1,0,1
165157,23.19,No,100,1,0,1,0,0,1
165158,54.84,Yes,98.36,1,0,0,1,0,1
165161,67.78,Yes,75.29,0,1,0,1,1,0
165162,73.26,Yes,91.11,0,1,0,1,0,1
165163,0,Yes,93.33,1,0,0,1,0,1
165165,43.96,Yes,95.12,1,0,0,1,0,1
165167,11.63,Yes,100,1,0,0,1,0,1
165176,48.48,Yes,96.88,1,0,0,1,0,1
165183,0,Yes,LNE,1,0,0,1,0,1
165261,16,Yes,100,1,0,0,1,0,1
165281,100,Yes,86.21,0,1,0,1,1,0
165322,0,No,100,1,0,1,0,0,1
165439,26.67,No,100,1,0,1,0,0,1
165545,49.49,Yes,92.47,1,0,0,1,0,1
165548,0,No,100,1,0,1,0,0,1
165557,0,Yes,96.15,1,0,0,1,0,1
165601,54.44,Yes,94.12,1,0,0,1,0,1
165575,42.72,Yes,93.24,1,0,0,1,0,1
165577,0,No,100,1,0,1,0,0,1
165583,11.9,Yes,91.67,1,0,0,1,0,1
165597,8.33,Yes,96,1,0,0,1,0,1
16A001,96.36,No,61.7,0,1,1,0,1,0
16A002,8.39,No,96.94,1,0,1,0,0,1
165501,53.33,No,100,1,0,1,0,0,1
165237,8.33,Yes,100,1,0,0,1,0,1
165383,28.26,No,100,1,0,1,0,0,1
165285,64,Yes,95.65,1,0,0,1,0,1
165239,3.77,Yes,98.08,1,0,0,1,0,1
165338,68.09,Yes,100,0,1,0,1,0,1
165240,54.69,Yes,100,1,0,0,1,0,1
165257,70,No,100,0,1,1,0,0,1
165232,47.37,No,98,1,0,1,0,0,1
165349,50,Yes,86.11,1,0,0,1,1,0
165604,2.33,No,100,1,0,1,0,0,1
16E016,56.76,No,100,1,0,1,0,0,1
165465,43.86,No,97.96,1,0,1,0,0,1
165300,30.23,Yes,100,1,0,0,1,0,1
165508,34.96,No,75.7,1,0,1,0,1,0
165298,51.22,Yes,90.91,1,0,0,1,0,1
165468,50.68,No,100,1,0,1,0,0,1
165498,40.66,No,97.78,1,0,1,0,0,1
165434,77.14,Yes,97.06,0,1,0,1,0,1
165442,45.19,No,98.98,1,0,1,0,0,1
165603,42.86,No,100,1,0,1,0,0,1
165502,36.36,No,97.78,1,0,1,0,0,1
165494,44,No,76.19,1,0,1,0,1,0
165303,56.25,Yes,92,1,0,0,1,0,1
16E050,28.21,No,91.67,1,0,1,0,0,1
165359,44.62,No,98.21,1,0,1,0,0,1
165249,6.9,Yes,96.67,1,0,0,1,0,1
165413,39.39,No,100,1,0,1,0,0,1
165336,48.72,Yes,100,1,0,0,1,0,1
165346,55.56,Yes,100,1,0,0,1,0,1
165356,32,No,100,1,0,1,0,0,1
165339,81.82,Yes,100,0,1,0,1,0,1
165236,29.63,Yes,100,1,0,0,1,0,1
165284,48,Yes,90.91,1,0,0,1,0,1
165414,59.26,Yes,100,1,0,0,1,0,1
165455,35.14,Yes,100,1,0,0,1,0,1
165231,28.57,Yes,96.97,1,0,0,1,0,1
16E069,48.48,No,94.59,1,0,1,0,0,1
