countyFIPS,7/19/20,7/19/20,population,County Infections per 100K,County Deaths per 100K,County Infections per 100K below Median,County Infections per 100K Median or higher,County Deaths per 100K below Median,County Deaths per 100K Median or higher
8101,483,32,168424,287,19,1,0,0,1
8103,6,0,6324,95,0,1,0,1,0
8105,84,2,11267,746,18,0,1,0,1
8107,87,6,25638,339,23,1,0,0,1
8109,106,2,6824,1553,29,0,1,0,1
8111,2,0,728,275,0,1,0,1,0
8113,66,0,8179,807,0,0,1,1,0
8115,8,0,2248,356,0,1,0,1,0
8117,306,4,31011,987,13,0,1,0,1
8119,78,2,25388,307,8,1,0,0,1
8121,46,0,4908,937,0,0,1,1,0
8123,3210,139,324492,989,43,0,1,0,1
8125,56,0,10019,559,0,0,1,1,0
0,228,0,0,,,0,1,0,1
9001,17069,1395,943332,1809,148,0,1,0,1
9003,12046,1403,891720,1351,157,0,1,0,1
9005,1523,138,180333,845,77,0,1,0,1
9007,1357,188,162436,835,116,0,1,0,1
9009,12733,1090,854757,1490,128,0,1,0,1
9011,1347,102,265206,508,38,0,1,0,1
9013,937,65,150721,622,43,0,1,0,1
9015,651,14,116782,557,12,0,1,0,1
0,145,0,0,,,0,1,0,1
10001,2000,95,180786,1106,53,0,1,0,1
10003,6070,250,558753,1086,45,0,1,0,1
10005,5304,178,234225,2264,76,0,1,0,1
11001,11261,578,705749,1596,82,0,1,0,1
0,388,0,0,,,0,1,0,1
12001,2619,13,269043,973,5,0,1,1,0
12003,232,4,29210,794,14,0,1,0,1
12005,2000,9,174705,1145,5,0,1,1,0
12007,190,2,28201,674,7,0,1,0,1
12009,4222,50,601942,701,8,0,1,0,1
12011,39281,493,1952778,2012,25,0,1,0,1
12013,222,7,14105,1574,50,0,1,0,1
12015,1431,81,188910,758,43,0,1,0,1
12017,796,17,149657,532,11,0,1,0,1
12019,2083,42,219252,950,19,0,1,0,1
12021,7815,107,384902,2030,28,0,1,0,1
12023,1245,5,71686,1737,7,0,1,0,1
12027,1067,13,38001,2808,34,0,1,0,1
12029,179,4,16826,1064,24,0,1,0,1
12031,16546,94,957755,1728,10,0,1,0,1
12033,5765,58,318316,1811,18,0,1,0,1
12035,650,7,115081,565,6,0,1,1,0
12037,56,0,12125,462,0,1,0,1,0
12039,808,10,45660,1770,22,0,1,0,1
12041,217,0,18582,1168,0,0,1,1,0
12043,281,1,13811,2035,7,0,1,0,1
12045,141,0,13639,1034,0,0,1,1,0
12047,509,2,14428,3528,14,0,1,0,1
12049,706,4,26937,2621,15,0,1,0,1
12051,1355,30,42022,3225,71,0,1,0,1
12053,1179,13,193920,608,7,0,1,0,1
12055,765,15,106221,720,14,0,1,0,1
12057,23706,235,1471968,1610,16,0,1,0,1
12059,303,1,19617,1545,5,0,1,1,0
12061,1585,25,159923,991,16,0,1,0,1
12063,831,10,46414,1790,22,0,1,0,1
12065,113,4,14246,793,28,0,1,0,1
12067,73,0,8422,867,0,0,1,1,0
12069,3343,35,367118,911,10,0,1,0,1
12071,12711,232,770577,1650,30,0,1,0,1
12073,3005,10,293582,1024,3,0,1,1,0
12075,358,2,41503,863,5,0,1,1,0
12077,303,2,8354,3627,24,0,1,0,1
12079,444,4,18493,2401,22,0,1,0,1
12081,6569,143,403253,1629,35,0,1,0,1
12083,2423,29,365579,663,8,0,1,0,1
12085,3108,48,161000,1930,30,0,1,0,1
12086,84238,1302,2716940,3100,48,0,1,0,1
12087,859,6,74228,1157,8,0,1,0,1
12089,745,4,88625,841,5,0,1,1,0
12091,1813,15,210738,860,7,0,1,0,1
12093,651,2,42168,1544,5,0,1,1,0
12095,23259,119,1393452,1669,9,0,1,0,1
